id,num_origin,nu
G006961001002010,100,100
G351161003001410,100,100
G351161003000220,100,100
G000561004000610,100,100
G701161001001610,100,100
G006561005000710,100,100
G002261001001220,100,100
G008561002000320,100,100
G006561003000720,100,100
G000561005001620,100,100
G006561005000320,100,100
G000561003000810,100,100
G221161001001520,100,100
G006561010000210,100,100
G351161001000120,100,100
G006961001000820,100,100
G007061006002310,100,100
G065E61004000210,100,100
G003061006000220,100,100
G065W61004000820,100,100
G008561001000310,100,100
G002061001000910,100,100
G065E61002000210,100,100
S002861001000220,100,100
G351161002002520,100,100
G003061006001420,100,100
G691161001000220,100,100
G701161002001710,100,100
S001461001000320,100,100
G065E61006001220,100,100
G007061001000520,100,100
G007061002000410,100,100
G006561001000310,100,100
G221161001000410,100,100
G006561006000610,100,100
G300161001001510,100,100
G003061001000210,100,100
G008561003000820,100,100
G065E61004000120,100,100
G065E61005000310,100,100
G030N61001001110,100,100
G000561004000710,100,100
G351161003001210,100,100
G006561009001220,100,100
G007061006002120,100,100
G004061002000710,100,100
G002261001001010,100,100
G008561002001110,100,100
G000561002000520,100,100
G003061006001210,100,100
G351161002000220,100,100
G701161002001810,100,100
G000561002000310,100,100
G300161001001120,100,100
G221161002000520,100,100
G221161002000920,100,100
G002261001000310,100,100
G006561006001210,100,100
G065W61002001220,100,100
G008561001000820,100,100
G000561005001310,100,100
G003061005000220,100,100
S002161001000420,100,100
G221161002000510,100,100
G002061002000110,100,100
G300161001002320,100,100
G221161001001710,100,100
G030N61001000910,100,100
G006561006000120,100,100
G351161002001020,100,100
G221161002001010,100,100
G003061006000720,100,100
G003061002000210,100,100
S002761001000210,100,100
G421361001000620,100,100
S001561001000710,100,100
S000161001000620,100,100
G006561004000110,100,100
G006561007000810,100,100
G000561004000120,100,100
G065W61001000220,100,100
G006561008002020,100,100
G691161001001110,100,100
G002261001001620,100,100
S000161001000110,100,100
S003261001000410,100,100
G006561005000920,100,100
G002261001000810,100,100
G300161001001410,100,100
G065E61005001110,100,100
G181261003000910,100,100
G000561001000810,100,100
G030N61001000810,100,100
G003061001001220,100,100
G007061006002010,100,100
G300161001000310,100,100
G701161001003010,100,100
G701161001001010,100,100
G065E61002000520,100,100
S002861001000810,100,100
G065E61003000310,100,100
G002261001000410,100,100
G000561001001310,100,100
G006561009000520,100,100
G701161002002320,100,100
G003061004000120,100,100
G701161001001510,100,100
G000561003000410,100,100
S002761001000410,100,100
G007061003000320,100,100
G006561013000910,100,100
G300161001002110,100,100
G006561002000210,100,100
G701161001001710,100,100
G701161001002020,100,100
G002261001001210,100,100
G351161002001610,100,100
G181261003000310,100,100
G181261001000820,100,100
G300161001001320,100,100
G006561010000110,100,100
G065W61002001320,100,100
G006561005000310,100,100
G701161002002010,100,100
G006561007000920,100,100
S003261001000210,100,100
S000161001000320,100,100
G691161001000920,100,100
G065E61005000420,100,100
G000561002000620,100,100
G002261001001920,100,100
G701161001001120,100,100
G003061002000620,100,100
G065E61003000710,100,100
G006561003000320,100,100
G065E61001000110,100,100
G065E61002000320,100,100
G006561003000110,100,100
G181261003001010,100,100
G351161002001620,100,100
G701161001001210,100,100
G000561004000720,100,100
