id,speed_origin,speed
G003061006000420_1.0,45.2,45.2
G003061003001420_1.0,100.6,50
G003061001000310_1.0,57.4,50
G003061001000410_1.0,55.9,50
G003061001000510_1.0,53.3,50
G003061001000610_1.0,60.9,50
G003061001000710_1.0,59.4,50
G000561001001220_1.0,51.1,50
G003061003000220_1.0,63.5,50
G003061003000120_1.0,61.1,50
G030N61001000420_1.0,58.4,50
G030N61001000220_1.0,62.3,50
G030N61001000120_1.0,62.3,50
G003061001001120_1.0,43,43
G003061001001020_1.0,52.8,50
G003061001000920_1.0,62.1,50
G000561001001120_1.0,47.8,47.8
G000561001001020_1.0,52,50
G006561009000820_1.0,50.7,50
G006561009000720_1.0,48.1,48.1
G006561009000620_1.0,29.8,29.8
G006561009000520_1.0,52.7,50
G006561009000320_1.0,42.1,42.1
G004061001000810_1.0,54.5,50
G007061002000110_1.0,50.1,50
G007061002000210_1.0,56.1,50
G007061002000310_1.0,53.3,50
G007061002000410_1.0,54,50
G007061002000510_1.0,55.2,50
G007061002000610_1.0,38.9,38.9
G008561001000410_1.0,57.9,50
G003061006000810_1.0,55,50
G003061006000720_1.0,42.6,42.6
G030N61001001510_1.0,94.4,50
G000561001000920_1.0,53.8,50
G065E61002000120_1.0,41,41
G065E61005000720_1.0,59.7,50
G065E61005000620_1.0,50.2,50
G065E61005000520_1.0,79.2,50
G065E61005000420_1.0,42.8,42.8
G065E61005000320_1.0,31.6,31.6
G065E61005000220_1.0,232.6,50
G065E61005000120_1.0,56.4,50
G065E61006000820_1.0,20.6,20.6
G065E61006000720_1.0,54.5,50
G065E61006000620_1.0,55.6,50
G002261001000420_1.0,57.5,50
G002261001002320_1.0,57.7,50
G065E61006000520_1.0,56.4,50
G065E61006000420_1.0,55.7,50
G065E61006000320_1.0,55.7,50
G065E61006000220_1.0,56.3,50
G065E61006000120_1.0,26.5,26.5
G221161001000620_1.0,55.8,50
G221161001000520_1.0,57.3,50
G065E61004000820_1.0,28.7,28.7
G065E61004000720_1.0,47.4,47.4
G065E61004000620_1.0,52.8,50
G065E61004000520_1.0,46.5,46.5
G065E61004000420_1.0,49.4,49.4
G065E61004000320_1.0,52.7,50
G065E61004000220_1.0,51.2,50
G701161001001210_1.0,36.3,36.3
G006561014000110_1.0,64,50
G006561013000110_1.0,47.6,47.6
G006561013000210_1.0,49.6,49.6
G006561013000120_1.0,50.5,50
G006561014000120_1.0,50.8,50
G701161001001220_1.0,71.8,50
G701161001001120_1.0,24.7,24.7
G003061006000520_1.0,56.5,50
G006561001000620_1.0,62.7,50
G006561009000210_1.0,51.9,50
S000161001000420_1.0,51.3,50
G006961001001020_1.0,30.9,30.9
G030N61001001020_1.0,45.6,45.6
G030N61001000920_1.0,61.5,50
G030N61001000820_1.0,61.3,50
G006961001001110_1.0,18,18
G007061006001510_1.0,49.6,49.6
G007061001000610_1.0,72.3,50
G007061001000710_1.0,49.5,49.5
G181261003000720_1.0,54.4,50
G181261003000520_1.0,64.2,50
S001561001000120_1.0,77.2,50
G000561001000820_1.0,52.5,50
G000561001000720_1.0,56.1,50
G000561001000620_1.0,48.4,48.4
G000561001002320_1.0,205.8,50
G000561001000520_1.0,32.6,32.6
G000561001000420_1.0,52.1,50
G701161002000520_1.0,57.1,50
G701161002000420_1.0,54,50
G701161002000320_1.0,55.5,50
G701161002000220_1.0,54.4,50
G701161002000120_1.0,46.4,46.4
G701161001001820_1.0,36.1,36.1
G006561011000120_1.0,46.4,46.4
G006561009000920_1.0,47.7,47.7
G006561009000220_1.0,54.1,50
G691161001000320_1.0,33.4,33.4
G691161001000410_1.0,59.9,50
G007061003000120_1.0,43.1,43.1
G065E61004000120_1.0,52.6,50
G065E61001000920_1.0,26.5,26.5
G065E61001000820_1.0,50.2,50
G065E61001000420_1.0,61.3,50
G030N61001001210_1.0,46.3,46.3
G030N61001001310_1.0,60.6,50
G030N61001001410_1.0,62.6,50
G004061001000510_1.0,47.2,47.2
G004061001000610_1.0,58.5,50
G004061001000710_1.0,57.9,50
G004061002000110_1.0,54,50
G004061002000210_1.0,60.6,50
G004061002000310_1.0,56.3,50
G004061002001420_1.0,39.6,39.6
G006961002000220_1.0,31.9,31.9
G006561011000420_1.0,56.9,50
G221161002000520_1.0,54.5,50
G221161002000320_1.0,47.7,47.7
G221161002000220_1.0,57.3,50
G221161002000120_1.0,59.1,50
G181261003000120_1.0,57.3,50
G006561009000310_1.0,51.7,50
G006561009000510_1.0,41.3,41.3
G006561009000610_1.0,53.4,50
G006561009000710_1.0,32.9,32.9
G006561009000810_1.0,50.7,50
G006561009000910_1.0,52.3,50
G701161001000620_1.0,56.9,50
G701161001000520_1.0,50.2,50
G701161001000420_1.0,51.9,50
G701161001000320_1.0,44.5,44.5
G701161001000410_1.0,41,41
G701161001000510_1.0,50.4,50
G701161001000610_1.0,47.8,47.8
G701161001000710_1.0,58.2,50
G300161001001710_1.0,58.6,50
S003261001000520_1.0,54.6,50
S003261001000420_1.0,52.6,50
S003261001000320_1.0,56.8,50
S003261001000220_1.0,55.4,50
G006561001000520_1.0,55.4,50
G006561001000420_1.0,62.7,50
G006561001000320_1.0,58,50
G065E61001000120_1.0,36.3,36.3
G065E61002000320_1.0,63.3,50
G065E61002000220_1.0,63,50
G701161001001620_1.0,52.9,50
G701161001001520_1.0,51,50
G701161001001420_1.0,56.5,50
G701161001001320_1.0,56.8,50
S002761001000320_1.0,38.1,38.1
S002761001000220_1.0,213.2,50
S002761001000120_1.0,10.1,10.1
G006561007000620_1.0,43.5,43.5
G006561007000520_1.0,43.7,43.7
G006561007000420_1.0,53,50
G006561007000320_1.0,56.5,50
G006561007000220_1.0,55.3,50
G006561007000120_1.0,48.8,48.8
G006561006000920_1.0,50.2,50
G006561006000820_1.0,52.2,50
G006561006000720_1.0,51,50
G006561006000620_1.0,53.9,50
G006961001000920_1.0,57.3,50
G030N61001001420_1.0,42,42
G691161001000110_1.0,43.8,43.8
G003061006000710_1.0,50.4,50
G003061006001010_1.0,52.5,50
G065E61004000510_1.0,53.2,50
G002061003000410_1.0,60.6,50
G002061003000320_1.0,63.6,50
G030N61001001120_1.0,41.2,41.2
G006961001000820_1.0,57.6,50
G006961001000720_1.0,46.5,46.5
G006961001000620_1.0,52.8,50
G006961001000520_1.0,50.9,50
G006961001000420_1.0,55.3,50
G006961001000320_1.0,57.1,50
G006961001000120_1.0,58.4,50
G006961001002020_1.0,57.8,50
G003061001001110_1.0,55.1,50
G030N61001000720_1.0,36.8,36.8
G030N61001000620_1.0,62.8,50
G030N61001000520_1.0,60.5,50
G701161001001310_1.0,42.8,42.8
G701161001001410_1.0,56,50
G701161001001510_1.0,56.7,50
G065E61002000520_1.0,24.3,24.3
G065E61002000420_1.0,62.7,50
G002061002000620_1.0,57.1,50
G002061002000520_1.0,58.1,50
G002061002000420_1.0,54.3,50
G002061002000320_1.0,43,43
G002061002000220_1.0,55.3,50
G007061006001610_1.0,51.2,50
G003061001000910_1.0,38,38
G003061001001010_1.0,55.2,50
G701161001000910_1.0,50.9,50
G701161001003210_1.0,132,50
G701161001001010_1.0,35.4,35.4
G006561002000210_1.0,63.5,50
G006561002000310_1.0,61.1,50
G006561002000410_1.0,53.5,50
G006561002000510_1.0,63.6,50
G002061003000110_1.0,9.5,9.5
G006561011000110_1.0,47.6,47.6
G006561011000310_1.0,33,33
G701161001001020_1.0,39.6,39.6
G701161001003220_1.0,59.1,50
G701161001000920_1.0,54.2,50
G421361001000520_1.0,48.8,48.8
G421361001000420_1.0,53.7,50
G351161002000710_1.0,50.5,50
G002061002000210_1.0,56.2,50
G002061002000310_1.0,352.1,50
G002061002000410_1.0,39.4,39.4
G002061002000510_1.0,51.5,50
G002061002000610_1.0,52.9,50
G006561003000110_1.0,58.8,50
G701161002000210_1.0,44.8,44.8
G701161002000310_1.0,52,50
G701161002000410_1.0,54.7,50
G701161002000510_1.0,48.9,48.9
G000561003000220_1.0,29.4,29.4
G002061003000220_1.0,58.8,50
G006561008000110_1.0,36.6,36.6
G006561008000410_1.0,42,42
G030N61001001520_1.0,59.9,50
G030N61001000510_1.0,38.8,38.8
G030N61001000610_1.0,61.1,50
G030N61001000710_1.0,61.1,50
G030N61001001610_1.0,60.4,50
G030N61001001620_1.0,44.3,44.3
G030N61001001320_1.0,60.6,50
G004061002000910_1.0,46.4,46.4
G004061002001010_1.0,56.5,50
G004061002000120_1.0,62.9,50
G004061001000820_1.0,55.8,50
G008561001000510_1.0,63.1,50
G008561001000610_1.0,56.7,50
G008561001000710_1.0,60.2,50
G701161002000610_1.0,50.3,50
G701161002000710_1.0,51.1,50
G701161002001010_1.0,54.3,50
G701161002001110_1.0,57.5,50
G006561001000510_1.0,62.9,50
G030N61001000910_1.0,60.3,50
G030N61001001010_1.0,58.9,50
S002761001000110_1.0,5.2,5.2
S002761001000210_1.0,56.5,50
S002761001000310_1.0,427.9,50
S002761001000510_1.0,32.2,32.2
G006561013000310_1.0,48.7,48.7
G181261001000620_1.0,57.1,50
G181261001000520_1.0,47.3,47.3
G181261001000420_1.0,287.2,50
G181261001000610_1.0,69.5,50
G181261003000310_1.0,55.1,50
G221161001000410_1.0,48.1,48.1
G181261001000320_1.0,54.6,50
G181261001000210_1.0,34.8,34.8
G006561006000610_1.0,56.4,50
G006561006000710_1.0,38.3,38.3
G002061003000620_1.0,59.9,50
G002061003000520_1.0,63.7,50
G006561001000310_1.0,63.4,50
G006561001000410_1.0,57.6,50
G006561002000110_1.0,60.4,50
G006561003000410_1.0,48.1,48.1
G006561004000210_1.0,54.1,50
G006561004000310_1.0,51.1,50
G006561004000410_1.0,57.7,50
G006561005000110_1.0,57.7,50
G006561005000210_1.0,54.3,50
G006561007000410_1.0,52.3,50
G006561007000510_1.0,49.6,49.6
G006561007000610_1.0,46.2,46.2
G221161001000510_1.0,42.3,42.3
G221161001000610_1.0,56,50
S003061001000720_1.0,53.3,50
S003061001000620_1.0,54.4,50
G006961002000120_1.0,56.6,50
G701161001001610_1.0,52.7,50
G701161001001710_1.0,59.1,50
G701161001001810_1.0,42.2,42.2
G701161002000110_1.0,54.8,50
S003061001000710_1.0,55,50
G030N61001000110_1.0,44.4,44.4
G030N61001000210_1.0,62.6,50
G030N61001000410_1.0,60.8,50
G002061003000420_1.0,61.6,50
G002061003000510_1.0,62.3,50
G002061003000610_1.0,64.5,50
S002161001000110_1.0,52.3,50
S003261001000510_1.0,53.3,50
S003261001000610_1.0,53.1,50
G065E61003000410_1.0,54.7,50
G006561013000520_1.0,51.2,50
G006561013000320_1.0,48,48
G006561013000220_1.0,50.6,50
G006561003000510_1.0,53.8,50
G006561004000110_1.0,52.4,50
G701161001001720_1.0,53.5,50
G006561006000110_1.0,53.4,50
G006561006000210_1.0,35,35
G006561006000910_1.0,54.2,50
G006561007000110_1.0,50.3,50
G004061001000720_1.0,53.3,50
G004061001000620_1.0,58.2,50
G221161002000110_1.0,28.4,28.4
G221161002000210_1.0,55.2,50
G221161002000310_1.0,57.6,50
G221161002000510_1.0,47.6,47.6
G221161002000610_1.0,42.7,42.7
G002061003000710_1.0,58.2,50
G351161002000720_1.0,60.2,50
G065E61005000410_1.0,62.1,50
G065E61005000510_1.0,22.3,22.3
G065E61005000610_1.0,55.1,50
G065E61005000710_1.0,51.6,50
G065E61002000110_1.0,55.9,50
G030N61001001220_1.0,62.2,50
G701161001000820_1.0,50.4,50
G701161001000720_1.0,45.2,45.2
G006561006000810_1.0,55,50
G065W61002000110_1.0,56,50
G002261001000810_1.0,54.1,50
G002261001000720_1.0,55.4,50
G002261001000620_1.0,61.6,50
G002261001000520_1.0,61.8,50
G030N61001001110_1.0,62.5,50
G065E61002000720_1.0,28.6,28.6
G002061001000310_1.0,44.2,44.2
G002061001000410_1.0,39.8,39.8
G002061001000220_1.0,49.5,49.5
G065E61003000110_1.0,16.6,16.6
G065E61001000410_1.0,57.1,50
G065E61001000510_1.0,62.9,50
G181261001000310_1.0,39.8,39.8
G181261001000410_1.0,54.4,50
G691161001000210_1.0,367.2,50
G691161001000120_1.0,542.7,50
G421361001000920_1.0,8.2,8.2
G002061003000120_1.0,60,50
G003061007000110_1.0,51.7,50
G003061006001020_1.0,54,50
G002261001000920_1.0,50.8,50
G004061001000310_1.0,60.1,50
G000561005000620_1.0,62.3,50
G006561001000220_1.0,64.8,50
G002061003000310_1.0,57.4,50
G065E61006000410_1.0,57.8,50
G007061001000310_1.0,47.3,47.3
G007061001000510_1.0,54.4,50
S003061001000520_1.0,57.5,50
S003061001000320_1.0,49.8,49.8
S003061001000220_1.0,56.1,50
S003061001000120_1.0,52.3,50
G002261001000820_1.0,51.9,50
G006561006000520_1.0,51.1,50
G006561006000420_1.0,56.2,50
S001561001000210_1.0,54,50
S001561001000310_1.0,59.5,50
S001561001000410_1.0,56.6,50
G004061001000420_1.0,51.8,50
G002061001000520_1.0,29.2,29.2
G003061007000220_1.0,36.9,36.9
G003061007000120_1.0,46.7,46.7
G003061006000820_1.0,56.6,50
G006561013000610_1.0,52.8,50
G006561013000710_1.0,44.8,44.8
G008561002000110_1.0,51,50
G221161001001020_1.0,48.6,48.6
G221161001000920_1.0,53.9,50
G221161001001820_1.0,160.8,50
G221161001000820_1.0,22.3,22.3
S002161001000120_1.0,56.5,50
G002261001001010_1.0,43.3,43.3
G002061003000210_1.0,61.7,50
G221161001000420_1.0,56.9,50
S002161001000410_1.0,50.2,50
S002161001000510_1.0,51.6,50
G221161002000620_1.0,22.5,22.5
S002161001000520_1.0,21,21
S002161001000420_1.0,52.6,50
S002161001000320_1.0,46,46
G006561013000510_1.0,49,49
G002261001000610_1.0,59.4,50
G002261001000710_1.0,62.1,50
G006561003000210_1.0,57.4,50
G006561003000310_1.0,56.6,50
G006561006000220_1.0,49.5,49.5
G000561005000910_1.0,49.9,49.9
G002061001000510_1.0,41.2,41.2
G701161002001020_1.0,57.7,50
G701161002000820_1.0,54.4,50
G701161002000720_1.0,57.3,50
G701161002000620_1.0,54.9,50
G351161003000620_1.0,47.7,47.7
G351161003000520_1.0,152.5,50
G008561002000210_1.0,59.5,50
G000561005000820_1.0,44.9,44.9
G351161001000420_1.0,55.8,50
G351161001000320_1.0,50.4,50
G351161001000310_1.0,42.4,42.4
G351161001000410_1.0,49.9,49.9
G065E61003000420_1.0,46.2,46.2
G065E61003000320_1.0,50.9,50
G065E61003000220_1.0,53.1,50
G065E61003000120_1.0,57.5,50
S101561001000320_1.0,46.2,46.2
S101561001000220_1.0,308.2,50
G008561002000420_1.0,61.4,50
G000561006000220_1.0,48.7,48.7
G000561006000120_1.0,49.5,49.5
G351161002001010_1.0,133,50
G351161002001110_1.0,35.4,35.4
G351161001000110_1.0,44.9,44.9
G351161001000210_1.0,54.4,50
G351161003000510_1.0,31.1,31.1
G000561001000320_1.0,56.7,50
G065E61005000210_1.0,54.9,50
G065E61005000310_1.0,29.1,29.1
G351161002000810_1.0,33.8,33.8
